,District,Total Case,07 July 2020,08 July 2020,09 July 2020,10 July 2020,11 July 2020,12 July 2020,13 July 2020,14 July 2020,15 July 2020,16 July 2020,17 July 2020,18 July 2020,19 July 2020,20 July 2020,21 July 2020,22 July 2020,23 July 2020,24 July 2020,25 July 2020,26 July 2020,27 July 2020,28 July 2020,29 July 2020,30 July 2020,31 July 2020,01 August 2020,02 August 2020,03 August 2020,04 August 2020,05 August 2020,06 August 2020,07 August 2020,08 August 2020,09 August 2020,10 August 2020,11 August 2020,12 August 2020,13 August 2020,14 August 2020,15 August 2020,16 August 2020,17 August 2020,18 August 2020,19 August 2020,20 August 2020,21 August 2020,22 August 2020,23 August 2020,24 August 2020,25 August 2020,26 August 2020,27 August 2020,28 August 2020,29 August 2020,30 August 2020,31 August 2020,01 September 2020,02 September 2020,03 September 2020,04 September 2020,05 September 2020,06 September 2020,07 September 2020,08 September 2020,09 September 2020,10 September 2020,11 September 2020,12 September 2020,13 September 2020,14 September 2020,15 September 2020,16 September 2020,17 September 2020,18 September 2020,19 September 2020,20 September 2020,21 September 2020,22 September 2020,23 September 2020,24 September 2020,25 September 2020,26 September 2020,27 September 2020,28 September 2020,29 September 2020,30 September 2020,01 October 2020,02 October 2020,03 October 2020,04 October 2020,05 October 2020,06 October 2020,07 October 2020,08 October 2020,09 October 2020,10 October 2020,11 October 2020,12 October 2020,13 October 2020,14 October 2020,15 October 2020,16 October 2020,17 October 2020,18 October 2020,19 October 2020,20 October 2020,21 October 2020,22 October 2020,23 October 2020,24 October 2020,25 October 2020,26 October 2020,27 October 2020,28 October 2020,29 October 2020,30 October 2020,31 October 2020,01 November 2020,02 November 2020,03 November 2020,04 November 2020,05 November 2020,06 November 2020,07 November 2020,08 November 2020,09 November 2020,10 November 2020,11 November 2020,12 November 2020,13 November 2020,14 November 2020,15 November 2020,16 November 2020,17 November 2020,18 November 2020,19 November 2020,20 November 2020,21 November 2020,22 November 2020,23 November 2020,24 November 2020,25 November 2020,26 November 2020,27 November 2020,28 November 2020,29 November 2020,30 November 2020,01 December 2020,02 December 2020,03 December 2020,04 December 2020,05 December 2020,06 December 2020,07 December 2020,08 December 2020,09 December,10 December 2020,11 December 2020,12 December 2020,13 December 2020,14 December 2020,15 December 2020,July,August,September,October,November,December
49,Panchagarh,753.0,169.0,2.0,2.0,3.0,0.0,6.0,6.0,0.0,4.0,9.0,1.0,4.0,16.0,0.0,7.0,4.0,11.0,13.0,0.0,8.0,15.0,15.0,14.0,14.0,7.0,7.0,10.0,4.0,5.0,0.0,16.0,14.0,8.0,6.0,8.0,18.0,7.0,8.0,6.0,8.0,0.0,7.0,3.0,0.0,5.0,9.0,3.0,3.0,0.0,9.0,11.0,4.0,3.0,5.0,2.0,5.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,13.0,0.0,13.0,8.0,5.0,0.0,6.0,2.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,10.0,0.0,0.0,6.0,3.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,6.0,3.0,2.0,0.0,0.0,2.0,1.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0,2.0,6.0,5.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,4.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,330.0,194.0,89.0,58.0,65.0,753.0
50,Patuakhali,1660.0,542.0,30.0,7.0,27.0,33.0,36.0,13.0,20.0,15.0,29.0,22.0,40.0,44.0,11.0,24.0,12.0,24.0,24.0,7.0,5.0,17.0,14.0,7.0,14.0,8.0,11.0,9.0,0.0,10.0,6.0,5.0,15.0,6.0,13.0,10.0,12.0,18.0,4.0,10.0,15.0,14.0,12.0,11.0,13.0,6.0,5.0,12.0,2.0,11.0,7.0,12.0,5.0,6.0,18.0,1.0,10.0,3.0,5.0,8.0,0.0,10.0,4.0,3.0,0.0,1.0,3.0,1.0,7.0,1.0,0.0,6.0,1.0,6.0,7.0,2.0,1.0,7.0,6.0,7.0,8.0,1.0,2.0,1.0,2.0,1.0,6.0,0.0,4.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,4.0,0.0,7.0,3.0,5.0,2.0,2.0,6.0,0.0,8.0,4.0,0.0,4.0,3.0,2.0,0.0,7.0,4.0,3.0,8.0,0.0,8.0,2.0,5.0,2.0,0.0,12.0,2.0,3.0,5.0,3.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,4.0,2.0,4.0,1.0,2.0,5.0,6.0,3.0,1.0,9.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,9.0,2.0,7.0,6.0,8.0,3.0,8.0,1025.0,289.0,110.0,97.0,78.0,1660.0
51,Pirojpur,1144.0,307.0,3.0,5.0,26.0,30.0,15.0,17.0,0.0,10.0,17.0,10.0,38.0,34.0,12.0,20.0,1.0,49.0,9.0,8.0,3.0,27.0,21.0,21.0,25.0,15.0,12.0,1.0,0.0,10.0,4.0,0.0,12.0,7.0,10.0,2.0,18.0,15.0,2.0,13.0,24.0,0.0,1.0,6.0,16.0,7.0,7.0,19.0,1.0,0.0,25.0,12.0,7.0,10.0,8.0,1.0,1.0,12.0,9.0,0.0,15.0,1.0,3.0,1.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,12.0,10.0,4.0,3.0,1.0,0.0,4.0,1.0,3.0,2.0,4.0,0.0,1.0,5.0,2.0,2.0,1.0,6.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,723.0,251.0,103.0,30.0,31.0,1144.0
52,Rajbari,3352.0,559.0,40.0,11.0,27.0,21.0,0.0,40.0,0.0,30.0,23.0,34.0,0.0,29.0,23.0,30.0,39.0,35.0,37.0,0.0,64.0,41.0,0.0,37.0,44.0,39.0,0.0,45.0,0.0,79.0,0.0,20.0,62.0,35.0,142.0,0.0,0.0,70.0,88.0,73.0,0.0,102.0,92.0,0.0,36.0,129.0,57.0,59.0,28.0,31.0,0.0,63.0,35.0,40.0,41.0,34.0,37.0,0.0,50.0,0.0,55.0,32.0,51.0,18.0,0.0,28.0,22.0,21.0,22.0,5.0,13.0,0.0,16.0,11.0,13.0,11.0,9.0,20.0,0.0,6.0,9.0,11.0,7.0,9.0,6.0,0.0,4.0,14.0,10.0,0.0,9.0,5.0,0.0,4.0,0.0,7.0,0.0,9.0,0.0,5.0,0.0,12.0,0.0,9.0,3.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,5.0,2.0,0.0,9.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,10.0,1.0,0.0,8.0,0.0,0.0,4.0,6.0,0.0,3.0,0.0,13.0,0.0,11.0,0.0,12.0,0.0,12.0,0.0,10.0,0.0,8.0,0.0,7.0,0.0,22.0,0.0,0.0,10.0,6.0,0.0,11.0,0.0,2.0,0.0,8.0,0.0,1203.0,1398.0,449.0,123.0,113.0,3352.0
53,Rajshahi,5687.0,1278.0,60.0,77.0,54.0,43.0,89.0,81.0,106.0,73.0,60.0,53.0,65.0,69.0,97.0,75.0,71.0,78.0,83.0,91.0,66.0,82.0,115.0,109.0,80.0,89.0,53.0,44.0,51.0,82.0,38.0,81.0,75.0,40.0,42.0,13.0,25.0,58.0,77.0,87.0,61.0,46.0,50.0,43.0,36.0,56.0,45.0,30.0,40.0,33.0,26.0,53.0,49.0,36.0,21.0,16.0,18.0,12.0,17.0,14.0,15.0,11.0,12.0,10.0,20.0,6.0,10.0,31.0,13.0,14.0,11.0,12.0,13.0,9.0,20.0,12.0,6.0,10.0,7.0,14.0,28.0,15.0,6.0,8.0,6.0,12.0,13.0,10.0,8.0,5.0,3.0,3.0,8.0,3.0,9.0,6.0,4.0,8.0,5.0,5.0,4.0,5.0,5.0,1.0,2.0,3.0,3.0,8.0,5.0,7.0,4.0,3.0,2.0,20.0,8.0,6.0,13.0,6.0,10.0,22.0,11.0,10.0,11.0,6.0,12.0,9.0,25.0,11.0,7.0,8.0,12.0,10.0,8.0,10.0,12.0,14.0,10.0,20.0,7.0,9.0,18.0,10.0,22.0,19.0,7.0,5.0,15.0,8.0,28.0,12.0,22.0,20.0,5.0,10.0,6.0,11.0,7.0,5.0,13.0,5.0,18.0,22.0,7.0,3144.0,1425.0,387.0,182.0,358.0,5687.0
54,Rangamati,1098.0,385.0,7.0,4.0,22.0,0.0,24.0,0.0,9.0,0.0,18.0,0.0,26.0,0.0,16.0,0.0,32.0,0.0,33.0,0.0,14.0,1.0,11.0,0.0,18.0,0.0,31.0,0.0,6.0,0.0,0.0,0.0,20.0,0.0,0.0,15.0,8.0,0.0,14.0,13.0,0.0,10.0,12.0,0.0,8.0,16.0,6.0,0.0,3.0,13.0,3.0,2.0,4.0,9.0,13.0,0.0,3.0,0.0,9.0,6.0,4.0,1.0,0.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,1.0,0.0,3.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,7.0,1.0,4.0,3.0,6.0,3.0,0.0,2.0,10.0,2.0,8.0,9.0,5.0,0.0,6.0,3.0,5.0,1.0,1.0,6.0,0.0,11.0,6.0,2.0,2.0,10.0,1.0,0.0,3.0,8.0,4.0,10.0,6.0,4.0,0.0,7.0,4.0,620.0,209.0,68.0,31.0,103.0,1098.0
55,Rangpur,3803.0,1111.0,25.0,26.0,31.0,21.0,33.0,26.0,25.0,24.0,30.0,35.0,26.0,29.0,25.0,17.0,29.0,24.0,27.0,24.0,15.0,22.0,11.0,16.0,16.0,25.0,14.0,7.0,13.0,7.0,28.0,28.0,26.0,26.0,17.0,27.0,24.0,24.0,22.0,23.0,31.0,30.0,18.0,33.0,23.0,27.0,25.0,29.0,25.0,24.0,23.0,20.0,23.0,16.0,23.0,25.0,29.0,54.0,29.0,19.0,21.0,13.0,17.0,13.0,13.0,14.0,7.0,14.0,13.0,13.0,12.0,15.0,10.0,10.0,13.0,11.0,7.0,18.0,10.0,12.0,7.0,9.0,14.0,11.0,11.0,14.0,11.0,8.0,15.0,2.0,1.0,8.0,10.0,5.0,6.0,6.0,5.0,1.0,4.0,7.0,6.0,15.0,13.0,6.0,1.0,6.0,6.0,9.0,6.0,4.0,12.0,0.0,9.0,21.0,1.0,20.0,8.0,17.0,1.0,17.0,10.0,12.0,9.0,19.0,8.0,0.0,10.0,13.0,13.0,12.0,22.0,25.0,1.0,33.0,8.0,17.0,19.0,10.0,27.0,7.0,24.0,13.0,18.0,33.0,15.0,26.0,0.0,44.0,30.0,27.0,30.0,18.0,20.0,11.0,18.0,7.0,15.0,22.0,6.0,14.0,11.0,19.0,13.0,1693.0,710.0,435.0,238.0,466.0,3803.0
56,Satkhira,1147.0,267.0,49.0,6.0,15.0,44.0,6.0,32.0,2.0,25.0,19.0,11.0,19.0,4.0,37.0,40.0,58.0,0.0,31.0,6.0,0.0,8.0,20.0,3.0,2.0,34.0,18.0,4.0,8.0,0.0,0.0,12.0,0.0,0.0,0.0,47.0,0.0,2.0,16.0,3.0,36.0,7.0,13.0,2.0,6.0,1.0,10.0,2.0,12.0,10.0,21.0,18.0,0.0,7.0,8.0,1.0,22.0,10.0,12.0,0.0,15.0,2.0,3.0,5.0,4.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,738.0,286.0,71.0,14.0,19.0,1147.0
57,Shariatpur,1854.0,733.0,0.0,31.0,0.0,0.0,34.0,22.0,0.0,23.0,0.0,39.0,0.0,37.0,0.0,34.0,0.0,37.0,0.0,29.0,0.0,15.0,0.0,33.0,0.0,0.0,1.0,33.0,0.0,25.0,0.0,13.0,0.0,62.0,0.0,52.0,0.0,47.0,0.0,42.0,0.0,40.0,0.0,0.0,17.0,36.0,0.0,24.0,0.0,25.0,0.0,17.0,0.0,18.0,0.0,22.0,0.0,7.0,0.0,11.0,0.0,11.0,0.0,14.0,0.0,8.0,0.0,11.0,0.0,13.0,0.0,17.0,0.0,13.0,0.0,6.0,0.0,0.0,0.0,18.0,0.0,5.0,0.0,15.0,0.0,0.0,3.0,9.0,0.0,0.0,5.0,8.0,0.0,2.0,0.0,3.0,0.0,7.0,0.0,1.0,0.0,7.0,0.0,0.0,14.0,8.0,5.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,7.0,0.0,5.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,1067.0,474.0,152.0,88.0,49.0,1854.0
58,Sherpur,542.0,254.0,0.0,0.0,6.0,4.0,3.0,0.0,2.0,13.0,3.0,1.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,9.0,0.0,4.0,0.0,3.0,0.0,0.0,5.0,1.0,5.0,2.0,2.0,1.0,7.0,15.0,2.0,6.0,11.0,0.0,7.0,6.0,7.0,1.0,7.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,5.0,6.0,2.0,3.0,0.0,3.0,2.0,1.0,4.0,2.0,0.0,4.0,2.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,3.0,4.0,0.0,1.0,312.0,117.0,42.0,27.0,22.0,542.0
59,Sirajganj,2489.0,690.0,30.0,24.0,42.0,5.0,32.0,26.0,33.0,37.0,33.0,34.0,38.0,19.0,16.0,24.0,47.0,50.0,34.0,30.0,27.0,23.0,21.0,46.0,23.0,8.0,48.0,16.0,16.0,16.0,13.0,18.0,20.0,30.0,14.0,16.0,10.0,39.0,25.0,13.0,25.0,16.0,19.0,14.0,30.0,7.0,18.0,11.0,11.0,9.0,9.0,12.0,11.0,17.0,12.0,11.0,11.0,5.0,10.0,18.0,19.0,14.0,2.0,5.0,5.0,0.0,0.0,6.0,11.0,5.0,10.0,19.0,11.0,14.0,7.0,8.0,9.0,5.0,4.0,6.0,13.0,5.0,5.0,2.0,0.0,2.0,8.0,4.0,10.0,1.0,6.0,2.0,1.0,8.0,1.0,5.0,0.0,3.0,0.0,2.0,1.0,1.0,4.0,1.0,4.0,7.0,1.0,5.0,4.0,4.0,1.0,9.0,0.0,7.0,4.0,7.0,0.0,3.0,2.0,4.0,0.0,3.0,5.0,2.0,1.0,2.0,0.0,4.0,7.0,6.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,7.0,4.0,3.0,4.0,6.0,0.0,12.0,7.0,6.0,8.0,2.0,1.0,7.0,3.0,3.0,7.0,17.0,0.0,2.0,16.0,11.0,12.0,10.0,3.0,6.0,5.0,1392.0,537.0,228.0,106.0,123.0,2489.0
60,Sunamganj,2495.0,1103.0,15.0,18.0,16.0,10.0,8.0,4.0,18.0,14.0,29.0,14.0,11.0,18.0,37.0,14.0,15.0,21.0,12.0,8.0,12.0,20.0,18.0,9.0,17.0,11.0,21.0,19.0,0.0,5.0,16.0,17.0,18.0,28.0,5.0,15.0,30.0,27.0,21.0,27.0,22.0,5.0,2.0,55.0,16.0,25.0,27.0,25.0,10.0,24.0,17.0,21.0,13.0,25.0,14.0,7.0,18.0,18.0,11.0,18.0,13.0,15.0,10.0,19.0,9.0,5.0,20.0,2.0,27.0,8.0,29.0,8.0,0.0,19.0,8.0,6.0,1.0,6.0,3.0,2.0,3.0,1.0,0.0,15.0,7.0,4.0,4.0,7.0,0.0,2.0,0.0,2.0,7.0,4.0,2.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,12.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,4.0,6.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,2.0,4.0,5.0,0.0,0.0,3.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,7.0,0.0,0.0,4.0,1472.0,575.0,291.0,70.0,56.0,2495.0
61,Sylhet,8837.0,2869.0,58.0,40.0,41.0,34.0,28.0,55.0,50.0,43.0,53.0,52.0,86.0,21.0,70.0,122.0,91.0,74.0,89.0,58.0,48.0,48.0,46.0,43.0,35.0,37.0,63.0,55.0,54.0,50.0,21.0,41.0,69.0,39.0,42.0,34.0,90.0,44.0,31.0,66.0,22.0,47.0,46.0,28.0,91.0,37.0,72.0,61.0,20.0,49.0,58.0,56.0,47.0,48.0,44.0,34.0,63.0,40.0,53.0,41.0,62.0,62.0,49.0,66.0,65.0,37.0,64.0,53.0,48.0,32.0,48.0,38.0,28.0,37.0,35.0,29.0,14.0,34.0,38.0,27.0,21.0,25.0,18.0,10.0,33.0,30.0,15.0,5.0,14.0,15.0,17.0,27.0,20.0,21.0,7.0,68.0,26.0,23.0,18.0,20.0,23.0,43.0,33.0,8.0,6.0,20.0,46.0,18.0,18.0,37.0,20.0,24.0,37.0,31.0,26.0,23.0,42.0,30.0,33.0,42.0,20.0,21.0,12.0,23.0,22.0,30.0,20.0,55.0,33.0,26.0,31.0,34.0,17.0,25.0,34.0,27.0,22.0,20.0,11.0,15.0,30.0,42.0,26.0,34.0,29.0,20.0,20.0,28.0,24.0,31.0,21.0,29.0,26.0,6.0,28.0,11.0,31.0,29.0,44.0,37.0,17.0,29.0,41.0,4191.0,1522.0,1152.0,766.0,802.0,8837.0
62,Tangail,3601.0,793.0,44.0,15.0,31.0,7.0,25.0,50.0,34.0,31.0,12.0,56.0,14.0,28.0,49.0,36.0,46.0,0.0,77.0,55.0,0.0,60.0,52.0,41.0,38.0,44.0,8.0,44.0,0.0,7.0,25.0,20.0,51.0,42.0,2.0,33.0,20.0,49.0,0.0,67.0,54.0,9.0,28.0,36.0,46.0,41.0,37.0,45.0,7.0,45.0,25.0,43.0,26.0,43.0,26.0,7.0,70.0,11.0,53.0,22.0,45.0,36.0,1.0,40.0,20.0,24.0,8.0,27.0,5.0,0.0,26.0,16.0,22.0,5.0,30.0,15.0,0.0,17.0,6.0,17.0,11.0,22.0,0.0,0.0,24.0,11.0,15.0,15.0,3.0,3.0,0.0,10.0,5.0,4.0,10.0,4.0,6.0,0.0,18.0,5.0,4.0,7.0,11.0,4.0,1.0,5.0,5.0,7.0,5.0,5.0,2.0,0.0,7.0,3.0,1.0,10.0,5.0,2.0,0.0,15.0,5.0,12.0,15.0,8.0,8.0,0.0,12.0,6.0,9.0,4.0,6.0,1.0,0.0,18.0,6.0,10.0,8.0,15.0,1.0,0.0,9.0,4.0,6.0,4.0,8.0,4.0,2.0,9.0,4.0,2.0,10.0,13.0,3.0,0.0,16.0,3.0,8.0,7.0,11.0,2.0,0.0,11.0,16.0,1638.0,956.0,529.0,167.0,205.0,3601.0
63,Thakurgaon,1442.0,227.0,10.0,2.0,5.0,7.0,5.0,0.0,6.0,5.0,0.0,0.0,6.0,11.0,1.0,8.0,1.0,7.0,5.0,3.0,11.0,15.0,14.0,7.0,9.0,4.0,12.0,8.0,24.0,14.0,1.0,9.0,28.0,26.0,13.0,18.0,23.0,7.0,17.0,27.0,21.0,30.0,9.0,28.0,34.0,21.0,18.0,16.0,21.0,16.0,11.0,29.0,17.0,11.0,19.0,10.0,3.0,13.0,55.0,14.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,9.0,0.0,0.0,14.0,0.0,0.0,0.0,4.0,20.0,8.0,24.0,8.0,6.0,5.0,7.0,0.0,5.0,1.0,0.0,1.0,5.0,2.0,2.0,4.0,0.0,12.0,2.0,2.0,9.0,0.0,5.0,3.0,4.0,1.0,7.0,2.0,7.0,0.0,2.0,8.0,0.0,6.0,4.0,6.0,6.0,1.0,4.0,4.0,0.0,11.0,7.0,3.0,2.0,2.0,0.0,3.0,1.0,1.0,3.0,3.0,2.0,7.0,10.0,4.0,0.0,3.0,3.0,6.0,3.0,8.0,2.0,0.0,4.0,10.0,6.0,9.0,8.0,10.0,1.0,6.0,3.0,8.0,4.0,6.0,2.0,0.0,6.0,7.0,6.0,8.0,3.0,13.0,0.0,2.0,2.0,5.0,369.0,541.0,211.0,126.0,123.0,1442.0
